Summary,Issue Type,Priority,Description,Sprint,Epic Name,Epic Link,Story Points,Labels
MenuItem entity + MenuItemRepository,Story,High,"Crear MenuItem.java (@Entity: id Long, name, description, price BigDecimal, category ManyToOne, available boolean, imageUrl String) y MenuItemRepository con findByCategoryId y findByAvailableTrue.",Sprint 2 - Catalog Module,,Catalog Module,3,catalog
ImageUploadService para MinIO con TDD,Story,High,"Crear ImageUploadService con uploadImage(MultipartFile, String bucketName) → URL pública y deleteImage(String imageUrl). TDD: mockear MinioClient para verificar put/remove objects. Validar tipo MIME y tamaño máximo (5MB).",Sprint 2 - Catalog Module,,Catalog Module,5,catalog minio tdd
MenuItemService CRUD + toggle disponibilidad con TDD,Story,High,"TDD: create, findAll, findById, update, toggleAvailability, delete. Al crear/actualizar: si viene imagen, llamar ImageUploadService y guardar URL. Al eliminar: borrar imagen de MinIO.",Sprint 2 - Catalog Module,,Catalog Module,5,catalog tdd
MenuItemController con endpoint de subida de imagen (TDD),Story,High,"TDD MockMvc: GET /api/catalog/items, GET /api/catalog/items/{id}, POST (multipart/form-data con imagen opcional), PUT /{id}, PATCH /{id}/availability, DELETE /{id}. Solo ADMIN puede mutar.",Sprint 2 - Catalog Module,,Catalog Module,5,catalog tdd
Table entity + TableRepository,Story,High,"Crear Table.java (@Entity: id Long, number int unique, capacity int, status TableStatus enum AVAILABLE/OCCUPIED) y TableRepository con findByStatus.",Sprint 2 - Catalog Module,,Catalog Module,2,catalog
TableService: CRUD + gestión de estado con TDD,Story,High,"TDD: create, findAll, findByStatus, updateCapacity, setOccupied, setAvailable. Verificar que setOccupied sobre mesa ya ocupada lanza excepción.",Sprint 2 - Catalog Module,,Catalog Module,5,catalog tdd
TableController con TDD,Story,Medium,"TDD MockMvc: GET /api/catalog/tables, GET /api/catalog/tables/{id}, POST, PUT /{id}, PATCH /{id}/status. ADMIN para mutaciones; WAITER puede leer y cambiar estado.",Sprint 2 - Catalog Module,,Catalog Module,3,catalog tdd
Restricción de roles en endpoints de catálogo con @PreAuthorize,Task,High,"Auditar todos los endpoints de catalog (categories, items, tables) y agregar @PreAuthorize apropiados: ADMIN para CRUD de menú y categorías; WAITER y ADMIN para mesas. Verificar en tests que 403 se retorna para roles no autorizados.",Sprint 2 - Catalog Module,,Catalog Module,2,catalog security
Session document model (MongoDB),Story,High,"Crear Session.java (@Document: id String, tableId, waiterId, status SessionStatus enum OPEN/BILLING/CLOSED, maxParticipants int, participants List<Participant>, items List<OrderItem>, createdAt). Crear clases embebidas Participant y OrderItem.",Sprint 3 - Session: Creación y QR,,Session Module,3,session mongodb
SessionRepository (MongoDB),Story,High,"Crear SessionRepository extendiendo MongoRepository<Session, String> con findByTableIdAndStatus y findByParticipants_UserId.",Sprint 3 - Session: Creación y QR,,Session Module,2,session mongodb
SessionService: crear sesión con aforo máximo (TDD),Story,High,"TDD: crear sesión con waiterId y tableId válidos → devuelve sessionId; crear sesión con mesa OCCUPIED → excepción; verificar que mesa pasa a OCCUPIED via ApplicationEvent SessionOpened. Implementar y publicar evento.",Sprint 3 - Session: Creación y QR,,Session Module,5,session tdd
QrTokenService: JWT de vida corta con sessionId (TDD),Story,High,"TDD: generateQrToken(sessionId, maxParticipants) → JWT con exp 15min; validateQrToken(token) → SessionId extraído; token expirado → excepción. Implementar usando JwtService con claims sessionId y maxParticipants.",Sprint 3 - Session: Creación y QR,,Session Module,5,session tdd
SessionService: unirse a sesión validando token QR y aforo (TDD),Story,High,"TDD: join con token válido y aforo disponible → participante agregado; join con aforo lleno → TooManyParticipantsException; join con token expirado → excepción; join duplicado (mismo userId) → excepción.",Sprint 3 - Session: Creación y QR,,Session Module,5,session tdd
SessionService: ampliar aforo de participantes (TDD),Task,High,"TDD: waiter puede incrementar maxParticipants en +N; verificar que solo el waiter asignado puede ampliar. Solo WAITER de la sesión autorizado.",Sprint 3 - Session: Creación y QR,,Session Module,3,session tdd
SessionController: crear sesión + unirse + obtener estado (TDD),Story,High,"TDD MockMvc: POST /api/sessions (WAITER), GET /api/sessions/{id}/qr, POST /api/sessions/{id}/join (CUSTOMER con token), PATCH /api/sessions/{id}/capacity (WAITER). Roles verificados.",Sprint 3 - Session: Creación y QR,,Session Module,5,session tdd
Configuración WebSocket STOMP,Task,High,"Crear WebSocketConfig.java con @EnableWebSocketMessageBroker: endpoint /ws, broker /topic y /user, application prefix /app. Configurar SimpMessagingTemplate como bean. Verificar conexión desde cliente STOMP.",Sprint 3 - Session: Creación y QR,,Session Module,5,session websocket
Broadcast PARTICIPANT_JOINED via WebSocket,Story,High,"Al unirse un participante, publicar mensaje tipo PARTICIPANT_JOINED al topic /topic/session/{sessionId} con payload {participantName, participantCount, maxParticipants}. Incluir test verificando el broadcast.",Sprint 3 - Session: Creación y QR,,Session Module,5,session websocket
Autenticación JWT en header STOMP CONNECT,Story,High,"Interceptor ChannelInterceptor en WebSocketConfig: extraer JWT del header Authorization del frame CONNECT, validar con JwtService y setear Authentication en SecurityContext del WebSocket. Test de conexión con token inválido → rechazo.",Sprint 3 - Session: Creación y QR,,Session Module,5,session websocket security
OrderItem model embebido en Session document,Story,High,"Crear/completar clase OrderItem embebida: itemId, name, price, participantName, participantId, status OrderItemStatus enum PENDING/PREPARING/READY/DELIVERED, addedAt. Definir contrato de datos completo antes de implementar servicios.",Sprint 4 - Session: Pedidos en Tiempo Real,,Session Module,3,session
SessionService: agregar ítem al pedido colaborativo (TDD),Story,High,"TDD: addItem(sessionId, participantId, menuItemId) → ítem con status PENDING agregado; participante no en sesión → excepción; sesión CLOSED → excepción; ítem no disponible en catálogo → excepción.",Sprint 4 - Session: Pedidos en Tiempo Real,,Session Module,5,session tdd
Broadcast ITEM_ADDED via WebSocket a todos los participantes,Story,High,"Tras agregar ítem exitosamente, broadcast ITEM_ADDED al topic /topic/session/{sessionId} con payload {itemName, price, participantName, status, sessionItems[]}. Todos los participantes reciben el carrito actualizado.",Sprint 4 - Session: Pedidos en Tiempo Real,,Session Module,5,session websocket
SessionService: eliminar ítem del pedido (TDD),Story,Medium,"TDD: removeItem solo si status es PENDING y lo solicitó el mismo participante o el waiter. Si ítem en PREPARING → excepción con mensaje explicativo.",Sprint 4 - Session: Pedidos en Tiempo Real,,Session Module,3,session tdd
ApplicationEvent: OrderItemAdded hacia kitchen module,Story,High,"Publicar OrderItemAdded event (sessionId, tableNumber, itemId, itemName, price, participantName) usando ApplicationEventPublisher al agregar un ítem. Definir el contrato del evento como record Java.",Sprint 4 - Session: Pedidos en Tiempo Real,,Session Module,5,session events
SessionService: recibir KitchenItemUpdated y actualizar estado de ítem (TDD),Story,High,"TDD: @EventListener de KitchenItemUpdated(sessionId, itemId, newStatus) → actualizar OrderItem.status en MongoDB. Verificar que el estado correcto se persiste.",Sprint 4 - Session: Pedidos en Tiempo Real,,Session Module,5,session tdd events
Broadcast ITEM_STATUS_UPDATED via WebSocket tras actualización de cocina,Story,High,"Tras recibir KitchenItemUpdated y actualizar estado, broadcast ITEM_STATUS_UPDATED al topic /topic/session/{sessionId} con {itemId, itemName, participantName, newStatus}.",Sprint 4 - Session: Pedidos en Tiempo Real,,Session Module,5,session websocket
SessionController: endpoints de gestión de pedido (TDD),Story,High,"TDD MockMvc: POST /api/sessions/{id}/items (CUSTOMER), DELETE /api/sessions/{id}/items/{itemId} (CUSTOMER/WAITER). Verificar respuestas y restricciones de rol.",Sprint 4 - Session: Pedidos en Tiempo Real,,Session Module,5,session tdd
Soporte de reconexión WebSocket (estado en MongoDB no en memoria),Task,High,"Verificar que al reconectar, el cliente obtiene el estado completo de la sesión vía GET /api/sessions/{id}. No guardar estado de sesión en memoria de la app. Documentar el flujo de reconexión.",Sprint 4 - Session: Pedidos en Tiempo Real,,Session Module,3,session websocket
KitchenOrder document model + KitchenOrderRepository (MongoDB),Story,High,"Crear KitchenOrder.java (@Document: id, sessionId, tableNumber, items List<KitchenItem>) con KitchenItem embebido (itemId, name, participantName, status, updatedAt). KitchenOrderRepository con findBySessionId y findByItems_Status.",Sprint 5 - Kitchen Module,,Kitchen Module,3,kitchen mongodb
KitchenService: recibir OrderItemAdded y crear/actualizar kitchen order (TDD),Story,High,"TDD: @EventListener de OrderItemAdded → si existe KitchenOrder para sessionId agregar ítem, si no crear nueva. Verificar que tableNumber y participantName se copian correctamente del evento.",Sprint 5 - Kitchen Module,,Kitchen Module,5,kitchen tdd events
KitchenService: actualizar estado de ítem PENDING→PREPARING→READY→DELIVERED (TDD),Story,High,"TDD: updateItemStatus(orderId, itemId, newStatus) → persiste nuevo estado y updatedAt; transición inválida (e.g. DELIVERED→PENDING) → excepción; ítem no encontrado → excepción. Solo KITCHEN puede llamar este método (verificar en tests de controller).",Sprint 5 - Kitchen Module,,Kitchen Module,5,kitchen tdd
ApplicationEvent publish: KitchenItemUpdated hacia session module,Story,High,"Tras actualizar estado, publicar KitchenItemUpdated(sessionId, itemId, newStatus) como ApplicationEvent. Definir el evento como record Java con los campos necesarios para que session module actualice su estado.",Sprint 5 - Kitchen Module,,Kitchen Module,3,kitchen events
KitchenController: obtener cola de pedidos + actualizar estado de ítem (TDD),Story,High,"TDD MockMvc: GET /api/kitchen/orders (KITCHEN/ADMIN), GET /api/kitchen/orders/{sessionId}, PATCH /api/kitchen/orders/{orderId}/items/{itemId}/status (KITCHEN). @PreAuthorize KITCHEN para mutaciones.",Sprint 5 - Kitchen Module,,Kitchen Module,5,kitchen tdd
Endpoint de display de cocina: pedidos agrupados por mesa,Story,Medium,"GET /api/kitchen/display → devuelve todos los KitchenOrders con status != CLOSED agrupados por tableNumber, ordenados por createdAt. Diseñado para el kitchen display en pantalla full-screen.",Sprint 5 - Kitchen Module,,Kitchen Module,3,kitchen
Restricción de rol @PreAuthorize KITCHEN en endpoints de actualización,Task,High,"Verificar que todos los endpoints de mutación en KitchenController tienen @PreAuthorize(hasRole('KITCHEN') or hasRole('ADMIN')). Tests de integración con roles incorrectos → 403.",Sprint 5 - Kitchen Module,,Kitchen Module,2,kitchen security
Bill entity + BillSplit entity + Payment entity (PostgreSQL),Story,High,"Crear: Bill.java (id, sessionId, total BigDecimal, splitMethod enum BY_CONSUMPTION/EQUAL_PARTS, status OPEN/PAID, createdAt); BillSplit.java (id, billId, participantName, amount, paid boolean); Payment.java (id, billId, amount, method DIGITAL/PHYSICAL, gatewayRef, status, createdAt).",Sprint 6 - Billing Module,,Billing Module,3,billing
BillRepository + BillSplitRepository + PaymentRepository,Story,High,"Extender JpaRepository para las 3 entidades. BillRepository: findBySessionId; BillSplitRepository: findByBillIdAndParticipantName; PaymentRepository: findByBillId.",Sprint 6 - Billing Module,,Billing Module,2,billing
BillingService: calcular cuenta total desde sesión (TDD),Story,High,"TDD: calculateBill(sessionId) → suma precios de todos los OrderItems con status DELIVERED o READY; sesión sin ítems → excepción; sesión ya facturada → excepción. Persiste Bill con status OPEN.",Sprint 6 - Billing Module,,Billing Module,5,billing tdd
BillingService: división por consumo por participante (TDD),Story,High,"TDD: splitByConsumption(billId) → calcula subtotal por participantName sumando sus ítems; persiste BillSplit por participante; retorna lista de splits. Verificar montos y nombres correctos.",Sprint 6 - Billing Module,,Billing Module,8,billing tdd
BillingService: división en partes iguales (TDD),Story,High,"TDD: splitEqually(billId, participantCount) → divide total entre N partes iguales con redondeo correcto (último participante absorbe centavos sobrantes); persiste BillSplits.",Sprint 6 - Billing Module,,Billing Module,5,billing tdd
ApplicationEvent: BillingRequested → calcular cuenta y broadcast BILL_READY,Story,High,"@EventListener de BillingRequested(sessionId, splitMethod, participantCount) → llamar calculateBill + splitBy* → broadcast BILL_READY al topic /topic/session/{sessionId} con detalle de splits.",Sprint 6 - Billing Module,,Billing Module,5,billing events websocket
PaymentService: registrar pago físico (TDD),Story,High,"TDD: registerPhysicalPayment(billId, participantName, amount) → crear Payment con method=PHYSICAL; marcar BillSplit como paid; si todos los splits están pagados → publicar PaymentCompleted event.",Sprint 6 - Billing Module,,Billing Module,5,billing tdd
PaymentService: stub de integración con pasarela digital (TDD),Story,Medium,"TDD: initiateDigitalPayment(billId, participantName, amount) → crear Payment con status PENDING y gatewayRef; confirmDigitalPayment(paymentId) → marcar PAID y verificar si bill está completamente pagada. Stub de gateway: siempre aprueba en dev.",Sprint 6 - Billing Module,,Billing Module,5,billing tdd
ApplicationEvent: PaymentCompleted → cerrar sesión + liberar mesa,Story,High,"@EventListener de PaymentCompleted(sessionId, tableId, billId) → session module: cambiar sesión a CLOSED; catalog module: cambiar tabla a AVAILABLE. Broadcast SESSION_CLOSED via WebSocket.",Sprint 6 - Billing Module,,Billing Module,5,billing events
BillingController con TDD,Story,High,"TDD MockMvc: POST /api/billing/sessions/{sessionId}/bill (WAITER/CUSTOMER), POST /api/billing/bills/{id}/split, POST /api/billing/payments/physical, POST /api/billing/payments/digital, POST /api/billing/payments/{id}/confirm. Verificar restricciones de rol.",Sprint 6 - Billing Module,,Billing Module,5,billing tdd
Spring Boot Actuator: health checks y métricas,Task,Medium,"Agregar spring-boot-starter-actuator. Exponer /actuator/health con detalles de PostgreSQL, MongoDB. Configurar management.endpoints.web.exposure. Verificar respuesta health UP con todos los servicios corriendo.",Sprint 7 - Hardening & DevOps,,Cross-cutting y Hardening,2,hardening devops
Springdoc OpenAPI: documentación Swagger UI,Task,Medium,"Agregar springdoc-openapi-starter-webmvc-ui. Configurar /swagger-ui.html accesible. Agregar @Tag y @Operation en los 5 módulos. Verificar que todos los endpoints aparecen documentados con schemas de request/response.",Sprint 7 - Hardening & DevOps,,Cross-cutting y Hardening,3,hardening docs
Rate limiting en endpoints de autenticación,Task,High,"Implementar rate limiting en POST /api/auth/login y /api/auth/register usando Bucket4j o un interceptor simple con cache en memoria. Límite: 10 requests/min por IP. Retornar 429 al exceder.",Sprint 7 - Hardening & DevOps,,Cross-cutting y Hardening,5,hardening security
Auditoría de roles @PreAuthorize en todos los endpoints,Task,High,"Recorrer todos los controllers de los 5 módulos y verificar que cada endpoint tiene @PreAuthorize apropiado. Crear test de auditoría de seguridad que verifica que ningún endpoint retorna 200 sin autenticación (excepto /api/auth/**).",Sprint 7 - Hardening & DevOps,,Cross-cutting y Hardening,3,hardening security
MDC request logging: traceId por request HTTP,Task,Medium,"Crear LoggingFilter (OncePerRequestFilter) que genera un UUID traceId, lo añade al MDC y lo incluye como header X-Trace-Id en la respuesta. Configurar logback para incluir %X{traceId} en el patrón de log.",Sprint 7 - Hardening & DevOps,,Cross-cutting y Hardening,3,hardening observability
Tests de integración E2E: flujo completo register→order→pay,Story,High,"Test de integración con @SpringBootTest y TestContainers (PostgreSQL + MongoDB): 1) registrar waiter y customer, 2) crear mesa, 3) crear sesión y generar QR, 4) customer se une, 5) agregar ítems, 6) kitchen actualiza estados, 7) solicitar cuenta, 8) pagar, 9) verificar sesión CLOSED y mesa AVAILABLE.",Sprint 7 - Hardening & DevOps,,Cross-cutting y Hardening,8,hardening e2e testing
Docker Compose: healthchecks y restart policies,Task,Medium,"Agregar healthcheck a cada servicio en docker-compose.yml: postgres (pg_isready), mongodb (mongosh ping), minio (curl /minio/health/live). Agregar restart: unless-stopped a todos los servicios.",Sprint 7 - Hardening & DevOps,,Cross-cutting y Hardening,2,hardening devops
Dockerfile para la aplicación Spring Boot,Task,Medium,"Crear Dockerfile multi-stage: stage 1 build con Maven, stage 2 runtime con eclipse-temurin:17-jre-alpine. Agregar servicio 'app' al docker-compose.yml. Verificar que docker compose up -d levanta el stack completo.",Sprint 7 - Hardening & DevOps,,Cross-cutting y Hardening,2,hardening devops
Variables de entorno: .env file + spring profiles dev/prod,Task,High,"Crear application-dev.properties con valores locales y application-prod.properties leyendo de variables de entorno. Crear .env.example con todas las variables requeridas. Agregar .env al .gitignore. Documentar en README el proceso de setup.",Sprint 7 - Hardening & DevOps,,Cross-cutting y Hardening,3,hardening security
