Summary,Issue Type,Priority,Description,Sprint,Epic Name,Epic Link,Story Points,Labels
Document accessibility standards and contrast requirements,Task,Medium,"Verificar que todas las combinaciones de color cumplan WCAG AA (4.5:1 para texto, 3:1 para componentes UI). Documentar estilos de focus-ring, tamaños mínimos de touch target (44x44px en móvil), convenciones de etiquetado para screen readers y orden de tab en todos los flujos web. Entregar como overlay de anotaciones de accesibilidad en Figma.",Sprint 1 - Design System & Foundations,,Design System & Foundations,2,design system accessibility
Wireframe web app shell and navigation structure,Task,High,"Diseñar wireframes low-fidelity del app shell: sidebar colapsable con links según rol (Admin ve Catálogo y Usuarios, Mesero ve Mesas y Facturación, Cocina ve KDS), top bar con nombre de usuario, badge de rol y logout. Incluir estado colapsado en breakpoint tablet, estados vacíos de contenido y página 403 de acceso no autorizado.",Sprint 2 - Web Admin & Waiter UX,,UX/UI Web - Admin & Waiter,3,web ux wireframe navigation
Design login page (high-fidelity),Task,High,"Crear UI alta fidelidad para la página de login: campos email y contraseña con estados de validación inline, botón CTA primario con spinner de carga, ubicación del toast de error y header con logo/marca de Ember. Entregar todos los estados interactivos: default, hover, focus, loading, error de campo y toast de 401.",Sprint 2 - Web Admin & Waiter UX,,UX/UI Web - Admin & Waiter,2,web ux auth login
Design Admin - Category and menu item management views,Task,High,"Diseñar las siguientes pantallas de administrador: (1) Lista de categorías con acciones inline de crear/editar/eliminar y popover de confirmación. (2) Lista de items de menú con thumbnail de imagen, badge de disponibilidad, filtro por categoría y paginación. (3) Formulario de creación/edición de item con barra de progreso de carga de imagen. Incluir estados vacíos para 'sin categorías' y 'sin items'.",Sprint 2 - Web Admin & Waiter UX,,UX/UI Web - Admin & Waiter,4,web ux admin catalog
Design Admin - Tables management view,Task,Medium,"Diseñar la pantalla de gestión de mesas: grilla de cards de mesas con número, capacidad y chip de estado (AVAILABLE=verde, OCCUPIED=ámbar). Incluir el dialog de creación 'Nueva Mesa' (inputs de número y capacidad) y el flujo de confirmación para editar/eliminar. Mostrar affordances de transición de estado para el atajo de mesero.",Sprint 2 - Web Admin & Waiter UX,,UX/UI Web - Admin & Waiter,3,web ux admin tables
Design Admin - User list and role assignment modal,Task,High,"Diseñar la tabla de gestión de usuarios (columnas: nombre, email, badge de rol, fecha de creación). Diseñar el Dialog de asignación de rol: rol actual mostrado de forma prominente, selector de rol dropdown (CUSTOMER / WAITER / KITCHEN / ADMIN), CTA de guardar con toast de éxito. Incluir estado de guardia que deshabilita la auto-degradación de privilegios con tooltip explicativo.",Sprint 2 - Web Admin & Waiter UX,,UX/UI Web - Admin & Waiter,3,web ux admin users roles
Design Waiter - Floor-plan table grid view,Task,High,"Diseñar la vista de floor-plan del mesero: grilla visual de cards de mesas con número, capacidad, conteo de participantes actuales y badge de estado. Definir estados de hover y click: mesa AVAILABLE abre modal 'Crear Sesión', mesa OCCUPIED navega a la sesión activa. Incluir estado de piso vacío y estado de piso completamente ocupado.",Sprint 2 - Web Admin & Waiter UX,,UX/UI Web - Admin & Waiter,4,web ux waiter floorplan
Design Waiter - Create session modal and QR code display,Task,High,"Diseñar el Dialog 'Crear Sesión' (mesa pre-llenada como solo lectura, input numérico de participantes máximos). Diseñar el modal full-screen de visualización del QR: código QR grande centrado, label con session ID, número de mesa, botón 'Refrescar Token' y acción 'Descargar como PNG'. Incluir estado de token expirado con prompt de refresco automático.",Sprint 2 - Web Admin & Waiter UX,,UX/UI Web - Admin & Waiter,3,web ux waiter session qr
Design Waiter - Session detail page,Task,High,"Diseñar la página de detalle de sesión: header sticky con info de mesa, badge de estado y barra de acciones (Mostrar QR, Calcular Cuenta, Cerrar Sesión). Sección de participantes con chips de avatar. Tabla de items del pedido (columnas: nombre del item, participante, chip de estado con código de color, precio, icono de eliminar). Definir el estado de solo lectura cuando la sesión está CERRADA con controles deshabilitados.",Sprint 2 - Web Admin & Waiter UX,,UX/UI Web - Admin & Waiter,4,web ux waiter session detail
Design Waiter - Billing and bill split flow,Task,High,"Diseñar el flujo completo de facturación: (1) Página de resumen de cuenta con tabla de items y total. (2) Vista 'Dividir por Consumo' con cards por participante mostrando items pedidos y monto a pagar. (3) Dialog 'Dividir Equitativamente' con input de número de participantes y cards resultantes. (4) Popover de confirmación de pago físico con monto pre-llenado (solo lectura). (5) Stub de pago digital con badge PENDING y acción 'Confirmar'. (6) Banner de éxito 'Todo Pagado' con countdown de redirect.",Sprint 3 - Web KDS & Waiter Billing,,UX/UI Web - Admin & Waiter,5,web ux waiter billing split payment
Wireframe KDS kanban board layout,Task,High,"Crear wireframes low-fidelity del layout full-screen del KDS: cuatro columnas (PENDING, PREPARING, READY, DELIVERED) con headers sticky mostrando conteo de items, listas de cards con scroll vertical dentro de cada columna, topbar mínima con botón mute y reloj en vivo. Documentar comportamiento de overflow cuando las columnas tienen muchas cards y adaptación a resoluciones 1920x1080 y 1280x800.",Sprint 3 - Web KDS & Waiter Billing,,UX/UI Web - KDS (Kitchen),3,web ux kds wireframe
Design KDS dark theme and visual system,Task,High,"Definir el tema oscuro específico del KDS: tonos de fondo por columna, colores de superficie de card, colores de acento por estado (PENDING=neutral-700, PREPARING=amber-600, READY=green-500, DELIVERED=slate-600). Garantizar alto contraste para condiciones de iluminación intensa de cocina. Especificar tamaños de fuente mínimos para legibilidad a distancia (body min 16px, nombre de item min 20px).",Sprint 3 - Web KDS & Waiter Billing,,UX/UI Web - KDS (Kitchen),3,web ux kds dark theme
Design KDS order card component and status controls,Task,High,"Diseñar la card individual del KDS: badge de número de mesa, session ID corto, nombre del item en tipografía grande, nombre del participante, contador de tiempo-desde-pedido en vivo, borde izquierdo con código de color por estado, y botón de flecha de avance (PENDING→PREPARING→READY→DELIVERED). Definir la animación de borde ámbar parpadeante para cards READY con más de 5 minutos y los estados hover/active del botón de acción.",Sprint 3 - Web KDS & Waiter Billing,,UX/UI Web - KDS (Kitchen),3,web ux kds card component
Design KDS empty states and reconnection feedback,Task,Medium,"Diseñar la ilustración y mensaje de columna vacía para cada estado (ej. 'Sin pedidos pendientes'). Diseñar la franja de advertencia de reconexión WebSocket en la parte superior de la pantalla: punto pulsante animado y label 'Conexión perdida - reconectando...'. Diseñar el overlay semi-transparente 'Sincronizando...' mostrado mientras se refetchean los datos tras reconexión.",Sprint 3 - Web KDS & Waiter Billing,,UX/UI Web - KDS (Kitchen),2,web ux kds empty states realtime
Design mobile splash, login and register screens,Task,High,"Diseñar: (1) Pantalla splash animada con logo de llama Ember centrado sobre fondo oscuro. (2) Pantalla de login con campos email/contraseña, mensajes de error inline, CTA primario con estado de carga y link a Registro. (3) Pantalla de registro con campos nombre/email/contraseña y link de vuelta a Login. Aplicar estilos NativeWind, comportamiento de KeyboardAwareScrollView y safe-area insets para dispositivos con notch.",Sprint 4 - Mobile Customer Experience,,UX/UI Mobile - Customer Experience,3,mobile ux auth login register
Design QR scan screen,Task,High,"Diseñar la previsualización de cámara full-screen para escaneo QR: overlay del visor de cámara con guías de esquina animadas, label de instrucción 'Apunta al código QR de tu mesa', botón de linterna, y estado fallback de permiso de cámara denegado con CTA 'Habilitar Acceso a Cámara'. Documentar la micro-interacción de feedback háptico (vibración) en escaneo exitoso.",Sprint 4 - Mobile Customer Experience,,UX/UI Mobile - Customer Experience,3,mobile ux session qr scan
Design join session screen (display name input),Task,High,"Diseñar la pantalla mostrada tras un escaneo QR exitoso: card de contexto de sesión en la parte superior (número de mesa, participantes actuales vs. capacidad máxima). TextInput del nombre a mostrar pre-llenado con el nombre registrado del usuario (máx 50 chars). CTA primario 'Unirse a la Mesa'. Definir todos los estados de error: 'Sesión llena', 'Código QR inválido o expirado - pide uno nuevo a tu mesero' y 'Ya te uniste a esta sesión'.",Sprint 4 - Mobile Customer Experience,,UX/UI Mobile - Customer Experience,2,mobile ux session join
Design menu discovery screen (category tabs and item grid),Task,High,"Diseñar la pestaña Menú: (1) Fila de chips de categoría con scroll horizontal, 'Todos' seleccionado por defecto. (2) FlatList de 2 columnas con cards de items de menú (placeholder blurhash con shimmer, nombre, precio, overlay 'No Disponible'). (3) Barra de búsqueda con debounce e icono de limpiar. (4) Estado vacío 'Sin resultados para X' con ilustración. (5) Banner de datos en caché offline ('Mostrando menú guardado - estás sin conexión').",Sprint 4 - Mobile Customer Experience,,UX/UI Mobile - Customer Experience,4,mobile ux menu discovery
Design menu item detail bottom sheet,Task,High,"Diseñar el bottom sheet a 60% de altura de pantalla: imagen full-width con esquinas superiores redondeadas, nombre del item, chip de categoría, párrafo de descripción, precio en tipografía grande, fila de estado de disponibilidad. CTA primario: botón 'Agregar al Pedido' con estados habilitado y deshabilitado. Tooltip de estado deshabilitado: 'Únete a una sesión primero'. Snackbar 'Agregado!' en la parte inferior de la pantalla.",Sprint 4 - Mobile Customer Experience,,UX/UI Mobile - Customer Experience,3,mobile ux menu item order
Design active session home screen and participant list,Task,High,"Diseñar la pantalla home de la pestaña Sesión: header sticky de mesa (número de mesa, badge de estado, opción 'Salir' en menú del header), fila de avatares de participantes con scroll horizontal (círculos con letra inicial, colores de fondo derivados del nombre, label de conteo/máximo), badge de resumen 'Mis Pedidos' y CTA primaria 'Ver Menú'. Incluir skeleton de carga para el estado inicial y banner full-screen de 'Sesión cerrada'.",Sprint 4 - Mobile Customer Experience,,UX/UI Mobile - Customer Experience,3,mobile ux session home participants
Design My Orders and All Orders tabs,Task,High,"Diseñar la pantalla de Pedidos con dos pestañas: (1) 'Míos': lista vertical de propios items con chips de estado (PENDING=gris, PREPARING=ámbar, READY=verde con anillo pulsante, DELIVERED=azul con checkmark). Swipe izquierda revela acción 'Eliminar' en rojo solo para PENDING; swipe deshabilitado muestra tooltip 'Ya está siendo preparado'. (2) 'Todos': SectionList agrupada por participante con headers de avatar, filas de items y subtotal por participante. Incluir estados vacíos para ambas pestañas.",Sprint 4 - Mobile Customer Experience,,UX/UI Mobile - Customer Experience,4,mobile ux orders realtime
Design bill breakdown, payment flow and receipt screens,Task,High,"Diseñar el journey completo de facturación: (1) Placeholder de pestaña Cuenta 'Esperando que el mesero calcule la cuenta...' con puntos animados. (2) Card de desglose de mi cuenta con mis items, mi subtotal y monto total. (3) CTA 'Pagar Ahora' que lleva a pantalla de Pago Pendiente (referencia de pasarela, monto, instrucciones). (4) Pantalla de Pago Confirmado con placeholder de animación Lottie de checkmark verde, monto pagado y timestamp. (5) Pantalla de Recibo con lista completa de items, card de resumen compartible y CTA 'Escanear Nueva Mesa'.",Sprint 4 - Mobile Customer Experience,,UX/UI Mobile - Customer Experience,4,mobile ux billing payment receipt
Design push notification templates and in-app notification dot,Task,Medium,"Diseñar: (1) Templates visuales de push notification para 'Tu pedido está listo' y 'Tu cuenta está lista' (icono de app, título, cuerpo de texto, descripción de acción al tap). (2) Badge de punto rojo en el ícono de la pestaña Pedidos con conteo de no leídos. (3) Banner de notificación in-app que desliza desde la parte superior de la pantalla (nombre del item, estado, swipe para descartar). Especificar duración de animación (slide-in 250ms), timer de auto-dismiss (4s) y comportamiento de accesibilidad.",Sprint 4 - Mobile Customer Experience,,UX/UI Mobile - Customer Experience,2,mobile ux notifications realtime
Build interactive prototype - Web Waiter and Admin flows,Task,High,"Crear un prototipo clickable en Figma cubriendo los flujos web principales: login → floor-plan → crear sesión → modal QR → detalle de sesión (agregar/eliminar items) → calcular cuenta → dividir por consumo → registrar pago → sesión cerrada → floor-plan actualizado. Vincular todos los estados de modales, hover y transiciones. Configurar para viewport desktop 1440px. Preparar script de escenario para sesiones de pruebas de usabilidad.",Sprint 5 - Prototyping & Dev Handoff,,Prototyping & Dev Handoff,5,prototyping web interactive
Build interactive prototype - Web KDS flow,Task,Medium,"Crear prototipo Figma para el flujo KDS: nuevo item llega a columna PENDING → click avanzar → PREPARING → READY (estado parpadeante) → DELIVERED (card se desvanece). Incluir el estado del banner de advertencia de reconexión y el estado de columna vacía tras entregar todos los items. Configurar para modo presentación full-screen 1920x1080.",Sprint 5 - Prototyping & Dev Handoff,,Prototyping & Dev Handoff,3,prototyping web kds
Build interactive prototype - Mobile customer flow,Task,High,"Crear prototipo Figma móvil (frame 375x812) para el journey completo del comensal: splash → login → escaneo QR → unirse a sesión (ingresar nombre) → descubrimiento de menú → bottom sheet de detalle → agregar al pedido → pestaña pedidos (animación de cambio de estado) → pestaña cuenta → pagar ahora → pago confirmado → recibo. Configurar todas las transiciones para que coincidan con el comportamiento de React Navigation: slide para stack screens, modal para bottom sheets, fade para cambio de pestañas.",Sprint 5 - Prototyping & Dev Handoff,,Prototyping & Dev Handoff,5,prototyping mobile interactive
Export design tokens to JSON and config files for engineering,Task,High,"Exportar todos los tokens de diseño (colores, tipografía, espaciado, border-radius, sombras, breakpoints) como archivo tokens.json estructurado compatible con Style Dictionary. Generar el bloque 'extend' correspondiente para tailwind.config.js y el objeto de override de tema para NativeWind. Coordinar con el equipo de ingeniería para validar que los nombres de tokens coincidan exactamente con las convenciones de nomenclatura de variables usadas en el codebase.",Sprint 5 - Prototyping & Dev Handoff,,Prototyping & Dev Handoff,3,handoff tokens engineering
Prepare component specs and redlines for frontend handoff,Task,High,"Para cada componente diseñado, producir un frame Inspect-ready en Figma con: mediciones exactas de espaciado usando anotaciones Figma, nombres de capas que coincidan con los nombres de componentes React en el codebase, documentación de la matriz completa de variantes, y todos los estados de interacción. Agregar notas de desarrollador para comportamientos no obvios como el timing de auto-refresco del token QR, el umbral de parpadeo de card en el KDS y la lógica de UI de reconexión WebSocket.",Sprint 5 - Prototyping & Dev Handoff,,Prototyping & Dev Handoff,4,handoff specs redlines
Export and organize final assets for development,Task,Medium,"Exportar todos los iconos como SVG optimizados con SVGO (viewBox consistente, sin colores fill hardcodeados). Exportar ilustraciones y assets de imagen como PNG a @1x/@2x/@3x para móvil y SVG para web. Organizar en una carpeta de entrega compartida que espeje la estructura del codebase (assets/icons/, assets/images/, assets/illustrations/). Proveer un CSV de manifiesto listando cada asset: nombre de archivo, formato, dimensiones y el componente o pantalla donde se usa.",Sprint 5 - Prototyping & Dev Handoff,,Prototyping & Dev Handoff,3,handoff assets icons
