Summary,Issue Type,Priority,Description,Sprint,Epic Name,Epic Link,Story Points,Labels
EMBW-12: Menu item create form with image upload,Task,High,"Route: /admin/menu-items/new. Form: name, price (number, min 0), category (select from GET /api/catalog/categories), optional image file input. Submit: POST /api/catalog/items multipart/form-data. Show upload progress bar. Redirect to list on success.",Sprint 2 - Web Admin Catalog & Users,,Web - Admin: Catalog & Users,4,web admin catalog image
EMBW-13: Menu item edit form and availability toggle,Task,High,"Route: /admin/menu-items/{id}. Prefill form from GET /api/catalog/items/{id}. Save: PUT /api/catalog/items/{id} multipart. Toggle availability: PATCH /api/catalog/items/{id}/availability (shows switch with optimistic UI update). Delete: DELETE with confirmation.",Sprint 2 - Web Admin Catalog & Users,,Web - Admin: Catalog & Users,3,web admin catalog
EMBW-14: Tables list with status chips and create modal,Task,High,"Route: /admin/tables. Table: number, capacity, status chip (AVAILABLE=green, OCCUPIED=amber). 'New Table' button opens dialog (number, capacity). POST /api/catalog/tables on submit. Status chip doubles as waiter shortcut to PATCH /api/catalog/tables/{id}/status.",Sprint 2 - Web Admin Catalog & Users,,Web - Admin: Catalog & Users,3,web admin catalog
EMBW-15: Table edit and delete,Task,Medium,"Edit icon opens dialog with prefilled number+capacity fields. PUT /api/catalog/tables/{id}. Delete icon with confirmation (only allowed when AVAILABLE). DELETE /api/catalog/tables/{id}. Refetch list on success.",Sprint 2 - Web Admin Catalog & Users,,Web - Admin: Catalog & Users,2,web admin catalog
EMBW-16: User management list,Task,High,"Route: /admin/users. Fetch all users (GET /api/admin/users - needs new read endpoint or derive from existing). Table columns: name, email, role badge, created date. Clicking a row opens role assignment modal. Requires ADMIN guard.",Sprint 2 - Web Admin Catalog & Users,,Web - Admin: Catalog & Users,3,web admin users
EMBW-17: Role assignment modal,Task,High,"From user row, open Dialog: current role shown + role select (CUSTOMER / WAITER / KITCHEN / ADMIN). Save calls PATCH /api/admin/users/{id}/role. Show success toast with new role. Update row optimistically. Prevent ADMIN from demoting themselves.",Sprint 2 - Web Admin Catalog & Users,,Web - Admin: Catalog & Users,3,web admin users
EMBW-18: Floor plan — table grid with live status,Task,High,"Route: /waiter/tables. Grid of table cards: number, capacity, status badge. Cards are clickable: AVAILABLE → open Create Session modal; OCCUPIED → navigate to active session. Poll GET /api/catalog/tables every 10s as fallback (WebSocket replaces polling in Sprint 6).",Sprint 3 - Web Waiter Sessions,,Web - Waiter: Sessions,3,web waiter sessions
EMBW-19: Create session modal,Task,High,"Triggered from AVAILABLE table card. Dialog: pre-filled table number (read-only), max participants input (min 1). POST /api/sessions on submit. On success navigate to /waiter/sessions/{id}. Handle 409 (already occupied).",Sprint 3 - Web Waiter Sessions,,Web - Waiter: Sessions,3,web waiter sessions
EMBW-20: QR code display modal,Task,High,"From session detail, 'Show QR' button opens full-screen Dialog. Fetch GET /api/sessions/{id}/qr. Render QR code using qrcode.react library (value = qrToken string). Show session ID + table number below. 'Refresh Token' re-fetches. Downloadable as PNG.",Sprint 3 - Web Waiter Sessions,,Web - Waiter: Sessions,3,web waiter sessions
EMBW-21: Session detail page,Task,High,"Route: /waiter/sessions/{id}. Fetch GET /api/sessions/{id} (poll or WebSocket). Show: table info, status badge, participant list with avatars, ordered items table (name, participant, status chip, price). Sticky action bar: Show QR, Calculate Bill (when items DELIVERED), Close.",Sprint 3 - Web Waiter Sessions,,Web - Waiter: Sessions,4,web waiter sessions
EMBW-22: Add and remove items from session (waiter override),Task,Medium,"From session detail, 'Add Item' opens a searchable menu item picker dialog. POST /api/sessions/{id}/items. Remove item: trash icon on PENDING/READY rows (not PREPARING). DELETE /api/sessions/{id}/items/{itemId}. Refetch session on success.",Sprint 3 - Web Waiter Sessions,,Web - Waiter: Sessions,3,web waiter sessions
EMBW-23: Expand session capacity form,Task,Low,"From session detail, 'Expand Capacity' button opens inline form (additional seats, min 1, max 100). PATCH /api/sessions/{id}/capacity. Show updated maxParticipants in header. Disabled when session is CLOSED.",Sprint 3 - Web Waiter Sessions,,Web - Waiter: Sessions,2,web waiter sessions
EMBW-24: WebSocket STOMP client hook (useStompClient),Task,High,"Create src/hooks/useStompClient.ts. Connect to ws://{host}/ws with SockJS fallback. Inject JWT in CONNECT headers. Expose subscribe(topic, callback) and disconnect(). Auto-reconnect on drop (exponential backoff, max 5 attempts). Export connection status (CONNECTING/CONNECTED/DISCONNECTED).",Sprint 3 - Web Waiter Sessions,,Web - Waiter: Sessions,4,web waiter sessions websocket
EMBW-25: Subscribe to session topic for live updates,Task,High,"In session detail page, subscribe to /topic/session/{id} using useStompClient. Handle: ITEM_ADDED → append item to list; ITEM_STATUS_UPDATED → update item chip; SESSION_CLOSED → show closed banner and disable actions. Unsubscribe on unmount.",Sprint 3 - Web Waiter Sessions,,Web - Waiter: Sessions,3,web waiter sessions websocket
EMBW-26: Calculate bill action,Task,High,"In session detail, 'Calculate Bill' button enabled only when at least one item is DELIVERED and no existing bill. POST /api/billing/sessions/{id}/bill with splitMethod=BY_CONSUMPTION. On success navigate to /waiter/billing/{billId}.",Sprint 4 - Web Waiter Billing,,Web - Waiter: Billing,3,web waiter billing
EMBW-27: Bill summary page,Task,High,"Route: /waiter/billing/{billId}. Show: session ID, total amount, item breakdown table. Action buttons: Split by Consumption, Split Equally, (later) Register Payment.",Sprint 4 - Web Waiter Billing,,Web - Waiter: Billing,2,web waiter billing
EMBW-28: Split by consumption view,Task,High,"'Split by Consumption' button: POST /api/billing/bills/{id}/split {splitMethod: BY_CONSUMPTION}. Renders per-participant card: name, items ordered, amount due, paid/unpaid badge. Trigger from bill summary page.",Sprint 4 - Web Waiter Billing,,Web - Waiter: Billing,3,web waiter billing
EMBW-29: Split equally form,Task,Medium,"'Split Equally' button: opens dialog with participant count input (min 1, max = session.participants.length). POST /api/billing/bills/{id}/split {splitMethod: EQUAL_PARTS, participantCount}. Renders equal-share cards.",Sprint 4 - Web Waiter Billing,,Web - Waiter: Billing,3,web waiter billing
EMBW-30: Register physical payment per participant,Task,High,"For each unpaid split card, 'Paid (Cash)' button opens confirmation popover: amount pre-filled from split.amount (read-only — enforces exact match). POST /api/billing/payments/physical. Mark card as PAID on success. Show 'All Paid' banner when all splits paid.",Sprint 4 - Web Waiter Billing,,Web - Waiter: Billing,3,web waiter billing
EMBW-31: Digital payment stub flow,Task,Medium,"'Pay Digitally' button: POST /api/billing/payments/digital. Shows PENDING badge with gatewayRef. 'Confirm' button: POST /api/billing/payments/{id}/confirm. Marks split PAID. Fires session-close event when all paid.",Sprint 4 - Web Waiter Billing,,Web - Waiter: Billing,3,web waiter billing
EMBW-32: Session closed redirect and table release UI,Task,High,"On SESSION_CLOSED WebSocket event (or after final payment), show success modal ('Table closed, seat released'). Navigate back to floor plan after 3s. Table card updates to AVAILABLE status automatically.",Sprint 4 - Web Waiter Billing,,Web - Waiter: Billing,2,web waiter billing realtime
EMBW-33: KDS full-screen layout with kanban columns,Task,High,"Route: /kitchen. Full-screen layout with four columns: PENDING, PREPARING, READY, DELIVERED. Each column is a scrollable list of order cards. Dark theme optimized for kitchen screens. Auto-refresh via WebSocket (no polling).",Sprint 5 - Web Kitchen Display,,Web - Kitchen Display,4,web kitchen kds
EMBW-34: Order card component,Task,High,"KDS card shows: table number, session ID (short), item name, participant name, time since ordered (live clock). Color-coded border by status. Cards in READY column flash amber if older than 5 minutes.",Sprint 5 - Web Kitchen Display,,Web - Kitchen Display,3,web kitchen kds
EMBW-35: Item status update controls,Task,High,"Each KDS card has a forward arrow button: PENDING→PREPARING, PREPARING→READY, READY→DELIVERED. Calls PATCH /api/kitchen/orders/{orderId}/items/{itemId}/status. Card moves to next column with slide animation on success.",Sprint 5 - Web Kitchen Display,,Web - Kitchen Display,3,web kitchen kds
EMBW-36: Real-time KDS via WebSocket,Task,High,"Subscribe to /topic/kitchen using useStompClient. Handle ITEM_ADDED: insert new card in PENDING column. Handle ITEM_STATUS_UPDATED: move card between columns. Handle SESSION_CLOSED: remove all cards for that session. On reconnect: re-fetch GET /api/kitchen/display to sync.",Sprint 5 - Web Kitchen Display,,Web - Kitchen Display,4,web kitchen kds websocket
EMBW-37: New order audio alert,Task,Low,"Play a short audio chime (Web Audio API, no external lib) when ITEM_ADDED WebSocket event is received. Mute button in KDS topbar persists setting in localStorage. No alert if window is already focused on KDS and sound is off.",Sprint 5 - Web Kitchen Display,,Web - Kitchen Display,2,web kitchen kds ux
EMBW-38: Subscribe to /topic/session/{id} for live waiter session updates,Task,High,"Re-verify the waiter session detail subscription (EMBW-25) works end-to-end against the real backend. Test: customer adds item → card appears in waiter view < 1s. Test: kitchen marks READY → chip updates live. Acceptance test documented.",Sprint 6 - Web Real-time & Polish,,Web - Real-time & Polish,2,web waiter sessions websocket
EMBW-39: Toast notification system,Task,Medium,"Install react-hot-toast. Wire success/error toasts to all mutation callbacks (create, update, delete, pay). Global Toaster placed in AppLayout. Toasts auto-dismiss after 4s, max 3 visible at once. Accessible: aria-live region.",Sprint 6 - Web Real-time & Polish,,Web - Real-time & Polish,2,web polish ux
EMBW-40: Error boundaries and fallback UI,Task,Medium,"Wrap each major page in ErrorBoundary (React 18 class component). Fallback shows: error message + 'Try again' button that resets boundary. Add global unhandled promise rejection handler that fires toast. Add empty-state illustrations for no data cases (no tables, no items, etc.).",Sprint 6 - Web Real-time & Polish,,Web - Real-time & Polish,3,web polish error
EMBW-41: Loading skeleton components,Task,Medium,"Create Skeleton wrapper component (animated shimmer using Tailwind). Apply to: table list, menu item list, session detail, KDS board (skeleton cards). Skeletons shown on initial fetch; spinners shown on refetch (TanStack Query isFetching).",Sprint 6 - Web Real-time & Polish,,Web - Real-time & Polish,2,web polish ux
EMBW-42: Responsive layout (tablet-first for POS + KDS),Task,Medium,"Verify all pages on 768px, 1024px, 1280px viewports. Floor plan grid: 2 cols on tablet, 3-4 on desktop. KDS: 4 columns scroll horizontally on <1280px. Session detail: side-by-side on >1024px, stacked on tablet. Sidebar collapses to icon-only on <1024px.",Sprint 6 - Web Real-time & Polish,,Web - Real-time & Polish,3,web polish responsive
EMBW-43: X-Trace-Id request ID display in error toasts,Task,Low,"Extract X-Trace-Id from error responses in the Axios response interceptor. Include trace ID in error toast message ('Error ID: abc123') so staff can report issues. Log full error to console in dev mode.",Sprint 6 - Web Real-time & Polish,,Web - Real-time & Polish,1,web polish observability
EMBW-44: Unit tests — auth store and HTTP interceptors,Task,High,"Vitest + @testing-library/react. Test authStore: setAuth persists token; clearAuth removes token; role is read correctly. Test Axios interceptor: token is injected in request headers; 401 response triggers clearAuth and navigation. Use msw for HTTP mocking.",Sprint 7 - Web Testing & DevOps,,Web - Testing & DevOps,3,web testing unit
EMBW-45: Component tests — Login page and critical UI,Task,High,"@testing-library/react tests: Login renders form; submit with empty fields shows validation errors; successful submit redirects based on role; 401 shows error toast. Test SessionDetail: items render; QR button opens modal. Test KDS card: forward button updates status.",Sprint 7 - Web Testing & DevOps,,Web - Testing & DevOps,4,web testing component
EMBW-46: Playwright E2E — waiter full flow,Task,High,"Playwright test: boot local Docker stack; login as WAITER; create session; confirm QR modal opens; login as CUSTOMER (2nd browser context) → join session → add item; switch back to waiter → verify item appears; calculate bill → pay → session closed. Run in CI headless.",Sprint 7 - Web Testing & DevOps,,Web - Testing & DevOps,5,web testing e2e
EMBW-47: Playwright E2E — KDS flow,Task,Medium,"Login as KITCHEN; verify KDS loads and shows pending items from waiter E2E fixture; click PREPARING → READY → DELIVERED; verify card moves columns. Assert no cards remain after DELIVERED.",Sprint 7 - Web Testing & DevOps,,Web - Testing & DevOps,3,web testing e2e
EMBW-48: GitHub Actions CI for web,Task,Medium,"Add .github/workflows/web-ci.yml: install deps (pnpm); run lint (ESLint); run unit + component tests (vitest); run Playwright E2E against docker-compose stack. Run on PR to main. Cache node_modules and playwright browsers.",Sprint 7 - Web Testing & DevOps,,Web - Testing & DevOps,3,web devops ci
EMBW-49: Dockerfile multi-stage and Nginx config for web,Task,Medium,"Dockerfile: node:20-alpine build (pnpm install --frozen-lockfile + vite build); nginx:alpine serve (copy dist, custom nginx.conf with try_files $uri /index.html). Runtime env: inject VITE_API_URL via /docker-entrypoint.d/ shell script replacing __API_URL__ placeholder. Verify with docker build + docker run.",Sprint 7 - Web Testing & DevOps,,Web - Testing & DevOps,3,web devops docker
EMBW-50: docker-compose.yml — add web service,Task,Medium,"Add ember-web service to root docker-compose.yml: build: ./frontend; ports: 5173:80; environment: VITE_API_URL; depends_on: app. Update README with startup instructions. Test full stack with docker compose up.",Sprint 7 - Web Testing & DevOps,,Web - Testing & DevOps,2,web devops docker
EMBM-01: Initialize Expo SDK 51 + TypeScript project,Task,High,"npx create-expo-app@latest ember-mobile --template expo-template-blank-typescript. Configure app.config.ts (name, slug, icon, splash). Install @types/react. Add .env support with expo-constants. Verify Expo Go runs on iOS simulator and Android emulator. Commit.",Sprint 1 - Mobile Foundation & Auth,,Mobile - Foundation & Auth,2,mobile foundation
EMBM-02: React Navigation v6 — stack and tab navigators,Task,High,"Install @react-navigation/native, @react-navigation/stack, @react-navigation/bottom-tabs + react-native-screens + react-native-safe-area-context. Create RootNavigator: AuthStack (Login, Register) | AppTabNavigator (Menu, Scan, Orders, Bill). Initial route based on auth state. Typed route params.",Sprint 1 - Mobile Foundation & Auth,,Mobile - Foundation & Auth,3,mobile foundation navigation
EMBM-03: Axios instance with JWT Bearer interceptor,Task,High,"Create src/lib/api.ts with axios.create({ baseURL: EXPO_PUBLIC_API_URL }). Request interceptor: reads token from authStore and injects Authorization header. Response interceptor: 401 → clear store → navigate to Login. Export typed resource clients (authApi, sessionApi, catalogApi, billingApi).",Sprint 1 - Mobile Foundation & Auth,,Mobile - Foundation & Auth,3,mobile foundation http
EMBM-04: Zustand auth store with expo-secure-store persistence,Task,High,"Create src/store/authStore.ts with zustand. Fields: token, userId, name, role. Persist token in expo-secure-store (encrypt at rest). On app launch: read token from SecureStore, restore auth state. Actions: setAuth, clearAuth. Test: survives app restart.",Sprint 1 - Mobile Foundation & Auth,,Mobile - Foundation & Auth,3,mobile foundation auth
EMBM-05: Login screen with validation,Task,High,"LoginScreen: email + password TextInput fields using React Hook Form + Zod. Calls POST /api/auth/login via authApi. On success: calls setAuth() + navigates to AppTabNavigator. On 401: shows 'Invalid credentials' error. On 429: shows 'Too many attempts, wait 1 minute'. Keyboard-aware ScrollView.",Sprint 1 - Mobile Foundation & Auth,,Mobile - Foundation & Auth,3,mobile auth
EMBM-06: Register screen,Task,High,"RegisterScreen: name, email, password fields (same validation as Login + name min 2 chars). Calls POST /api/auth/register. On success: calls setAuth() and navigates to Menu tab. Show server error messages inline. 'Already have an account?' link navigates to Login.",Sprint 1 - Mobile Foundation & Auth,,Mobile - Foundation & Auth,3,mobile auth
EMBM-07: NativeWind setup + base design tokens,Task,Medium,"Install nativewind@4 + tailwindcss. Configure tailwind.config.js with content glob for .tsx files. Define custom colors matching Ember brand (ember-orange, ember-dark). Create src/components/ui/Text.tsx and Button.tsx using NativeWind. Apply to Login + Register screens.",Sprint 1 - Mobile Foundation & Auth,,Mobile - Foundation & Auth,2,mobile foundation ui
EMBM-08: App icon, splash screen, and Expo config,Task,Low,"Design app icon (1024x1024 PNG, Ember flame logo) and splash screen (centered logo on dark background). Configure in app.config.ts: icon, splash.image, scheme for deep links. Set statusBarStyle: light. Add android.adaptiveIcon. Verify on physical device via Expo Go.",Sprint 1 - Mobile Foundation & Auth,,Mobile - Foundation & Auth,2,mobile foundation ux
EMBM-09: Category horizontal scroll tab bar,Task,High,"MenuScreen header: horizontally scrollable category chips. Fetch GET /api/catalog/categories (TanStack Query, staleTime 5min). 'All' chip selects no filter. Tapping a category scrolls menu FlatList to first item of that category. Highlight selected chip.",Sprint 2 - Mobile Menu Discovery,,Mobile - Menu Discovery,3,mobile menu
EMBM-10: Menu items FlatList with category filter,Task,High,"Render GET /api/catalog/items with FlatList (2-column grid). Each card: image (expo-image with blurhash placeholder), name, price, availability badge. Filter by selected category (client-side). Pull-to-refresh calls query.refetch(). Show empty state when no items match filter.",Sprint 2 - Mobile Menu Discovery,,Mobile - Menu Discovery,3,mobile menu
EMBM-11: MenuItem card component with image,Task,High,"MenuItemCard: rounded card with image (expo-image), name (semibold), price formatted as currency, category chip. Unavailable items show semi-transparent overlay + 'Unavailable' label. Tap navigates to detail. Accessible: role='button' with item name as label.",Sprint 2 - Mobile Menu Discovery,,Mobile - Menu Discovery,2,mobile menu ui
EMBM-12: MenuItem detail bottom sheet,Task,High,"Tap card → open @gorhom/bottom-sheet at 60% height. Shows: full image, name, category, description (if available), price, availability status. CTA: 'Add to Order' button (enabled only if user is in an active session AND item is available). Disabled state with tooltip when no active session.",Sprint 2 - Mobile Menu Discovery,,Mobile - Menu Discovery,4,mobile menu ordering
EMBM-13: Search bar with debounce filter,Task,Medium,"SearchBar component at top of MenuScreen. Debounce 300ms using useDebounce hook. Filters items client-side by name (case-insensitive). Clears category chip selection when typing. Show 'No results for X' empty state. Clear icon resets search.",Sprint 2 - Mobile Menu Discovery,,Mobile - Menu Discovery,2,mobile menu ux
EMBM-14: TanStack Query cache for offline stale menu,Task,Medium,"Configure QueryClient: staleTime=5min, gcTime=30min for catalog queries. Use useQuery with networkMode='offlineFirst' for menu items and categories. Show 'You're offline – showing cached menu' banner when NetInfo.isConnected is false. Disable Add to Order when offline.",Sprint 2 - Mobile Menu Discovery,,Mobile - Menu Discovery,3,mobile menu offline
EMBM-15: QR scan screen with expo-camera,Task,High,"ScanScreen: request camera permission on mount (expo-camera). Show camera preview full-screen. Use BarCodeScanner to detect QR codes. On scan: extract qrToken from QR data, vibrate (Haptics.impactAsync), and navigate to JoinSessionScreen passing { qrToken, sessionId }. Show torch toggle button.",Sprint 3 - Mobile Session Joining,,Mobile - Session Joining,4,mobile session qr
EMBM-16: Join session flow with display name input,Task,High,"JoinSessionScreen: TextInput for display name (max 50 chars, matching @Size(max=50) backend constraint). Pre-fill with user's registered name. 'Join Table' CTA: POST /api/sessions/{id}/join with { qrToken, userName }. On success: save activeSessionId to sessionStore + navigate to SessionTab. Handle 409 (already joined, full).",Sprint 3 - Mobile Session Joining,,Mobile - Session Joining,3,mobile session
EMBM-17: Active session screen (session tab),Task,High,"When user has activeSessionId: Session tab shows SessionHomeScreen. Sections: table header (number + status), participants row (avatars with names), 'My Orders' count badge. 'Add Items' button navigates to Menu tab. Fetch GET /api/sessions/{id} (WebSocket-driven after Sprint 6).",Sprint 3 - Mobile Session Joining,,Mobile - Session Joining,3,mobile session
EMBM-18: Participant list component,Task,Medium,"ParticipantList: horizontal scroll of avatar circles (first letter of name, background color derived from name hash). Show participant count vs maxParticipants (e.g. '3 / 4 seats'). Tooltip/sheet on tap shows full name.",Sprint 3 - Mobile Session Joining,,Mobile - Session Joining,2,mobile session ui
EMBM-19: Leave session and error handling,Task,Medium,"'Leave Session' option in session header menu. Shows confirmation alert. On confirm: clear sessionStore.activeSessionId + navigate to Scan tab. Handle expired/invalid QR token (IAE from backend) with user-friendly alert: 'This QR code has expired, ask your waiter for a new one'.",Sprint 3 - Mobile Session Joining,,Mobile - Session Joining,2,mobile session ux
EMBM-20: Add item to order,Task,High,"'Add to Order' in MenuItem detail bottom sheet: POST /api/sessions/{activeSessionId}/items { menuItemId }. On success: close sheet + show brief 'Added!' snackbar + increment Orders tab badge. Handle errors: 'Session closed', 'Item unavailable', 'Not a participant'.",Sprint 4 - Mobile Ordering,,Mobile - Ordering,3,mobile ordering
EMBM-21: My orders tab with status chips,Task,High,"OrdersScreen 'Mine' tab: list own OrderItems filtered by authentication.getName(). Each row: item name, price, status chip (PENDING=gray, PREPARING=amber, READY=green, DELIVERED=blue). Sorted by addedAt desc. Show empty state: 'You haven't ordered anything yet'.",Sprint 4 - Mobile Ordering,,Mobile - Ordering,3,mobile ordering
EMBM-22: All orders tab grouped by participant,Task,Medium,"OrdersScreen 'All' tab: items grouped by participantName (SectionList). Section header: participant name + avatar + subtotal. Each row: item name + status chip. Useful for seeing the table's full order. Show participant order count in section header badge.",Sprint 4 - Mobile Ordering,,Mobile - Ordering,3,mobile ordering
EMBM-23: Remove item swipe-to-delete (PENDING only),Task,Medium,"Swipe left on own PENDING item in 'Mine' tab reveals 'Remove' action (red background). DELETE /api/sessions/{id}/items/{itemId}. Confirm with haptic feedback. Disabled (no swipe) for PREPARING/READY/DELIVERED items — show tooltip: 'Item already being prepared'.",Sprint 4 - Mobile Ordering,,Mobile - Ordering,3,mobile ordering
EMBM-24: Order item status animation,Task,Medium,"When item status changes: animate chip background color with react-native Animated API (fade transition 300ms). READY items show a subtle pulsing ring animation to draw attention. DELIVERED items show a checkmark icon. Status label accessible via accessibilityLabel.",Sprint 4 - Mobile Ordering,,Mobile - Ordering,2,mobile ordering ux
EMBM-25: Real-time order status via WebSocket,Task,High,"Subscribe to /topic/session/{activeSessionId} on SessionHomeScreen mount. Handle ITEM_ADDED: append to order list (vibrate if not own item). Handle ITEM_STATUS_UPDATED: update chip in-place with animation. Handle SESSION_CLOSED: show 'Your session has ended' banner. Unsubscribe on unmount.",Sprint 4 - Mobile Ordering,,Mobile - Ordering,4,mobile ordering websocket
